51 41
3300 -700 -10.49969
3300 -600 -8.82726
3300 -500 -7.13691
3300 -400 -5.43134
3300 -300 -3.71338
3300 -200 -1.98602
3300 -100 -0.25234
3300 0 1.48453
3300 100 3.22141
3300 200 4.95511
3300 300 6.68249
3300 400 8.40046
3300 500 10.10607
3300 600 11.79646
3300 700 13.46894
3300 800 15.12100
3300 900 16.75032
3300 1000 18.35480
3300 1100 19.93256
3300 1200 21.48193
3300 1300 23.00147
3300 1400 24.48998
3300 1500 25.94644
3300 1600 27.37007
3300 1700 28.76027
3300 1800 30.11664
3300 1900 31.43893
3300 2000 32.72707
3300 2100 33.98110
3300 2200 35.20123
3300 2300 36.38775
3300 2400 37.54106
3300 2500 38.66163
3300 2600 39.75004
3300 2700 40.80689
3300 2800 41.83286
3300 2900 42.82866
3300 3000 43.79502
3400 -1000 -14.87183
3400 -900 -13.30760
3400 -800 -11.72047
3400 -700 -10.11241
3400 -600 -8.48557
3400 -500 -6.84230
3400 -400 -5.18506
3400 -300 -3.51648
3400 -200 -1.83930
3400 -100 -0.15632
3400 0 1.52956
3400 100 3.21545
3400 200 4.89844
3400 300 6.57564
3400 400 8.24425
3400 500 9.90152
3400 600 11.54483
3400 700 13.17172
3400 800 14.77984
3400 900 16.36703
3400 1000 17.93133
3400 1100 19.47096
3400 1200 20.98432
3400 1300 22.47004
3400 1400 23.92693
3400 1500 25.35400
3400 1600 26.75045
3400 1700 28.11564
3400 1800 29.44913
3400 1900 30.75063
3400 2000 32.01997
3400 2100 33.25714
3400 2200 34.46224
3400 2300 35.63549
3400 2400 36.77719
3400 2500 37.88772
3400 2600 38.96756
3400 2700 40.01723
3400 2800 41.03729
3400 2900 42.02838
3400 3000 42.99114
3500 -1000 -14.38300
3500 -900 -12.85718
3500 -800 -11.31020
3500 -700 -9.74392
3500 -600 -8.16035
3500 -500 -6.56166
3500 -400 -4.95013
3500 -300 -3.32820
3500 -200 -1.69836
3500 -100 -0.06322
3500 0 1.57459
3500 100 3.21241
3500 200 4.84757
3500 300 6.47742
3500 400 8.09938
3500 500 9.71094
3500 600 11.30968
3500 700 12.89330
3500 800 14.45964
3500 900 16.00668
3500 1000 17.53258
3500 1100 19.03566
3500 1200 20.51440
3500 1300 21.96748
3500 1400 23.39375
3500 1500 24.79222
3500 1600 26.16211
3500 1700 27.50275
3500 1800 28.81367
3500 1900 30.09451
3500 2000 31.34507
3500 2100 32.56527
3500 2200 33.75514
3500 2300 34.91480
3500 2400 36.04450
3500 2500 37.14453
3500 2600 38.21527
3500 2700 39.25717
3500 2800 40.27071
3500 2900 41.25644
3500 3000 42.21492
3600 -1000 -13.91703
3600 -900 -12.42793
3600 -800 -10.91925
3600 -700 -9.39274
3600 -600 -7.85027
3600 -500 -6.29386
3600 -400 -4.72563
3600 -300 -3.14782
3600 -200 -1.56274
3600 -100 0.02722
3600 0 1.61963
3600 100 3.21205
3600 200 4.80202
3600 300 6.38711
3600 400 7.96495
3600 500 9.53322
3600 600 11.08967
3600 700 12.63219
3600 800 14.15877
3600 900 15.66751
3600 1000 17.15669
3600 1100 18.62472
3600 1200 20.07017
3600 1300 21.49176
3600 1400 22.88839
3600 1500 24.25908
3600 1600 25.60305
3600 1700 26.91962
3600 1800 28.20830
3600 1900 29.46870
3600 2000 30.70056
3600 2100 31.90376
3600 2200 33.07825
3600 2300 34.22411
3600 2400 35.34150
3600 2500 36.43065
3600 2600 37.49185
3600 2700 38.52549
3600 2800 39.53197
3600 2900 40.51176
3600 3000 41.46536
3700 -1000 -13.47224
3700 -900 -12.01827
3700 -800 -10.54615
3700 -700 -9.05753
3700 -600 -7.55415
3700 -500 -6.03788
3700 -400 -4.51071
3700 -300 -2.97471
3700 -200 -1.43200
3700 -100 0.11520
3700 0 1.66467
3700 100 3.21414
3700 200 4.76136
3700 300 6.30408
3700 400 7.84012
3700 500 9.36733
3700 600 10.88363
3700 700 12.38707
3700 800 13.87576
3700 900 15.34794
3700 1000 16.80199
3700 1100 18.23641
3700 1200 19.64984
3700 1300 21.04105
3700 1400 22.40899
3700 1500 23.75270
3700 1600 25.07140
3700 1700 26.36442
3700 1800 27.63124
3700 1900 28.87145
3700 2000 30.08475
3700 2100 31.27097
3700 2200 32.43002
3700 2300 33.56192
3700 2400 34.66676
3700 2500 35.74472
3700 2600 36.79602
3700 2700 37.82097
3700 2800 38.81992
3700 2900 39.79327
3700 3000 40.74146
3800 -1000 -13.04710
3800 -900 -11.62676
3800 -800 -10.18958
3800 -700 -8.73708
3800 -600 -7.27091
3800 -500 -5.79282
3800 -400 -4.30464
3800 -300 -2.80829
3800 -200 -1.30576
3800 -100 0.20093
3800 0 1.70971
3800 100 3.21850
3800 200 4.72520
3800 300 6.22776
3800 400 7.72414
3800 500 9.21235
3800 600 10.69049
3800 700 12.15672
3800 800 13.60928
3800 900 15.04653
3800 1000 16.46695
3800 1100 17.86912
3800 1200 19.25174
3800 1300 20.61366
3800 1400 21.95384
3800 1500 23.27137
3800 1600 24.56546
3800 1700 25.83546
3800 1800 27.08082
3800 1900 28.30113
3800 2000 29.49605
3800 2100 30.66537
3800 2200 31.80897
3800 2300 32.92681
3800 2400 34.01894
3800 2500 35.08546
3800 2600 36.12655
3800 2700 37.14247
3800 2800 38.13350
3800 2900 39.09998
3800 3000 40.04227
3900 -1000 -12.64023
3900 -900 -11.25211
3900 -800 -9.84833
3900 -700 -8.43031
3900 -600 -6.99961
3900 -500 -5.55785
3900 -400 -4.10674
3900 -300 -2.64807
